Model,Mode,Param,Run,Test,Accuracy,Rows,Correct,Expected,Complete,Path
Qwen3-VL,Thinking,8B,Qwen3-VL Thinking,T06-a Long,32.6,144.0,47.0,144,True,comfort_eval_tests/test04_visual_marks/results/mcq_long_qwen3vl_thinking.csv
Qwen3-VL,Thinking,8B,Qwen3-VL Thinking,T06-b Long,37.5,144.0,54.0,144,True,comfort_eval_tests/test04_visual_marks_with_aligned/results/mcq_long_qwen3vl_thinking_with_aligned.csv
InternVL,Instruct,8.5B,InternVL Instruct,T01 Short,28.5,144.0,41.0,144,True,comfort_eval_output/mcq_short_internvl.csv
InternVL,Instruct,8.5B,InternVL Instruct,T01 Middle,28.5,144.0,41.0,144,True,comfort_eval_output/mcq_middle_internvl.csv
InternVL,Instruct,8.5B,InternVL Instruct,T01 Long,29.9,144.0,43.0,144,True,comfort_eval_output/mcq_long_internvl.csv
InternVL,Instruct,8.5B,InternVL Instruct,T02 Long,19.9,216.0,43.0,216,True,comfort_eval_output/pair_mcq_long_internvl.csv
InternVL,Instruct,8.5B,InternVL Instruct,T03-a Long,33.3,108.0,36.0,108,True,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_internvl.csv
InternVL,Instruct,8.5B,InternVL Instruct,T03-b Long,,,,108,False,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_internvl_with'aligned'.csv
InternVL,Instruct,8.5B,InternVL Instruct,T04 Long,42.4,144.0,61.0,144,True,comfort_eval_tests/test02_pov/results/pov_internvl.csv
InternVL,Instruct,8.5B,InternVL Instruct,T05 Long,48.6,432.0,210.0,432,True,comfort_eval_tests/test03_pov_four/results/pov4_internvl.csv
InternVL,Instruct,8.5B,InternVL Instruct,T06-a Long,29.2,144.0,42.0,144,True,comfort_eval_tests/test04_visual_marks/results/mcq_long_internvl.csv
InternVL,Instruct,8.5B,InternVL Instruct,T06-b Long,27.1,144.0,39.0,144,True,comfort_eval_tests/test04_visual_marks_with_aligned/results/mcq_long_internvl_with_aligned.csv
InternVL,Thinking,8.5B,InternVL Thinking,T01 Short,30.6,144.0,44.0,144,True,comfort_eval_output/mcq_short_internvl_thinking.csv
InternVL,Thinking,8.5B,InternVL Thinking,T01 Middle,29.9,144.0,43.0,144,True,comfort_eval_output/mcq_middle_internvl_thinking.csv
InternVL,Thinking,8.5B,InternVL Thinking,T01 Long,25.7,144.0,37.0,144,True,comfort_eval_output/mcq_long_internvl_thinking.csv
InternVL,Thinking,8.5B,InternVL Thinking,T02 Long,21.8,216.0,47.0,216,True,comfort_eval_output/pair_mcq_long_internvl_thinking.csv
InternVL,Thinking,8.5B,InternVL Thinking,T03-a Long,32.4,108.0,35.0,108,True,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_internvl_thinking.csv
InternVL,Thinking,8.5B,InternVL Thinking,T03-b Long,,,,108,False,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_internvl_thinking_with'aligned'.csv
InternVL,Thinking,8.5B,InternVL Thinking,T04 Long,38.9,144.0,56.0,144,True,comfort_eval_tests/test02_pov/results/pov_internvl_thinking.csv
InternVL,Thinking,8.5B,InternVL Thinking,T05 Long,37.5,432.0,162.0,432,True,comfort_eval_tests/test03_pov_four/results/pov4_internvl_thinking.csv
InternVL,Thinking,8.5B,InternVL Thinking,T06-a Long,25.0,144.0,36.0,144,True,comfort_eval_tests/test04_visual_marks/results/mcq_long_internvl_thinking.csv
InternVL,Thinking,8.5B,InternVL Thinking,T06-b Long,23.4,141.0,33.0,144,False,comfort_eval_tests/test04_visual_marks_with_aligned/results/mcq_long_internvl_thinking_with_aligned.csv
Gemma4,Instruct,8B,Gemma4 Instruct,T01 Short,27.1,144.0,39.0,144,True,comfort_eval_output/mcq_short_gemma4.csv
Gemma4,Instruct,8B,Gemma4 Instruct,T01 Middle,30.6,144.0,44.0,144,True,comfort_eval_output/mcq_middle_gemma4.csv
Gemma4,Instruct,8B,Gemma4 Instruct,T01 Long,22.9,144.0,33.0,144,True,comfort_eval_output/mcq_long_gemma4.csv
Gemma4,Instruct,8B,Gemma4 Instruct,T02 Long,25.9,216.0,56.0,216,True,comfort_eval_output/pair_mcq_long_gemma4.csv
Gemma4,Instruct,8B,Gemma4 Instruct,T03-a Long,31.5,108.0,34.0,108,True,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_gemma4.csv
Gemma4,Instruct,8B,Gemma4 Instruct,T03-b Long,22.2,108.0,24.0,108,True,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_gemma4_with'aligned'.csv
Gemma4,Instruct,8B,Gemma4 Instruct,T04 Long,54.9,144.0,79.0,144,True,comfort_eval_tests/test02_pov/results/pov_gemma4.csv
Gemma4,Instruct,8B,Gemma4 Instruct,T05 Long,35.2,432.0,152.0,432,True,comfort_eval_tests/test03_pov_four/results/pov4_gemma4.csv
Gemma4,Instruct,8B,Gemma4 Instruct,T06-a Long,27.8,144.0,40.0,144,True,comfort_eval_tests/test04_visual_marks/results/mcq_long_gemma4.csv
Gemma4,Instruct,8B,Gemma4 Instruct,T06-b Long,27.1,144.0,39.0,144,True,comfort_eval_tests/test04_visual_marks_with_aligned/results/mcq_long_gemma4_with_aligned.csv
Gemma4,Thinking,8B,Gemma4 Thinking,T01 Short,28.5,144.0,41.0,144,True,comfort_eval_output/mcq_short_gemma4_thinking.csv
Gemma4,Thinking,8B,Gemma4 Thinking,T01 Middle,25.0,144.0,36.0,144,True,comfort_eval_output/mcq_middle_gemma4_thinking.csv
Gemma4,Thinking,8B,Gemma4 Thinking,T01 Long,25.0,144.0,36.0,144,True,comfort_eval_output/mcq_long_gemma4_thinking.csv
Gemma4,Thinking,8B,Gemma4 Thinking,T02 Long,21.3,216.0,46.0,216,True,comfort_eval_output/pair_mcq_long_gemma4_thinking.csv
Gemma4,Thinking,8B,Gemma4 Thinking,T03-a Long,32.4,108.0,35.0,108,True,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_gemma4_thinking.csv
Gemma4,Thinking,8B,Gemma4 Thinking,T03-b Long,,,,108,False,comfort_eval_tests/test01_aligned_first/results/pair_mcq_long_gemma4_thinking_with'aligned'.csv
Gemma4,Thinking,8B,Gemma4 Thinking,T04 Long,49.3,144.0,71.0,144,True,comfort_eval_tests/test02_pov/results/pov_gemma4_thinking.csv
Gemma4,Thinking,8B,Gemma4 Thinking,T05 Long,37.7,432.0,163.0,432,True,comfort_eval_tests/test03_pov_four/results/pov4_gemma4_thinking.csv
Gemma4,Thinking,8B,Gemma4 Thinking,T06-a Long,25.7,144.0,37.0,144,True,comfort_eval_tests/test04_visual_marks/results/mcq_long_gemma4_thinking.csv
Gemma4,Thinking,8B,Gemma4 Thinking,T06-b Long,30.6,144.0,44.0,144,True,comfort_eval_tests/test04_visual_marks_with_aligned/results/mcq_long_gemma4_thinking_with_aligned.csv
